                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.66145,                0.54881,                  1.148,                0.94761,                0.90471,                 0.9628,                0.81632,                0.59089,                0.45426,                 1.1298,             0.00082925,             0.00082925,             0.00082925
                     36,                0.65342,                0.52872,                 1.1501,                 0.9303,                0.92562,                  0.961,                0.81452,                0.61031,                0.43622,                 1.1564,             0.00081688,             0.00081688,             0.00081688
                     37,                0.65667,                0.53467,                  1.147,                0.93328,                0.91289,                0.95692,                0.81268,                0.59278,                0.45099,                 1.1244,              0.0008045,              0.0008045,              0.0008045
                     38,                0.64188,                 0.5343,                 1.1466,                0.94912,                0.94632,                0.96694,                 0.8252,                0.58518,                0.41962,                 1.1188,             0.00079213,             0.00079213,             0.00079213
                     39,                0.64511,                0.52603,                 1.1531,                0.93013,                0.94922,                0.96059,                0.81157,                0.59393,                0.42706,                 1.1225,             0.00077975,             0.00077975,             0.00077975
                     40,                0.63032,                 0.5011,                 1.1362,                0.93314,                0.92831,                0.96481,                0.82119,                 0.5943,                0.44011,                 1.1268,             0.00076738,             0.00076738,             0.00076738
                     41,                 0.6375,                0.50967,                 1.1393,                0.95082,                0.93277,                0.97058,                0.84548,                0.57247,                0.40182,                 1.1062,               0.000755,               0.000755,               0.000755
                     42,                 0.6478,                0.51267,                 1.1583,                0.95792,                0.92913,                0.96644,                0.81469,                 0.6051,                0.44552,                  1.136,             0.00074263,             0.00074263,             0.00074263
                     43,                0.62982,                0.51182,                  1.142,                0.94267,                 0.9145,                0.96509,                0.81207,                0.60638,                0.44025,                 1.1306,             0.00073025,             0.00073025,             0.00073025
                     44,                0.63978,                0.50445,                  1.144,                0.95581,                0.93359,                0.95994,                0.83127,                0.56878,                0.39813,                 1.1047,             0.00071788,             0.00071788,             0.00071788
                     45,                0.63284,                0.50388,                 1.1459,                0.93832,                0.94157,                0.96951,                0.83909,                0.57802,                0.40444,                 1.0958,              0.0007055,              0.0007055,              0.0007055
                     46,                0.62936,                0.48421,                 1.1265,                0.96193,                0.91353,                 0.9687,                0.84236,                0.55344,                0.39995,                 1.0769,             0.00069313,             0.00069313,             0.00069313
                     47,                0.62674,                0.48872,                 1.1275,                0.92882,                 0.9382,                0.96778,                0.84785,                0.54314,                0.40661,                 1.0718,             0.00068075,             0.00068075,             0.00068075
                     48,                0.63609,                0.47948,                 1.1346,                0.94007,                0.95335,                0.97421,                0.84693,                0.55548,                 0.3809,                 1.0848,             0.00066838,             0.00066838,             0.00066838
                     49,                0.63062,                0.48446,                 1.1285,                0.94362,                0.92079,                0.96575,                0.84162,                0.55556,                0.39165,                 1.0867,               0.000656,               0.000656,               0.000656
                     50,                0.60775,                 0.4728,                 1.1213,                0.96094,                 0.9296,                0.97128,                 0.8458,                0.55477,                0.38429,                 1.0881,             0.00064362,             0.00064362,             0.00064362
                     51,                0.60539,                0.46828,                  1.115,                0.94895,                0.92526,                0.96998,                0.84395,                 0.5576,                0.39095,                 1.0902,             0.00063125,             0.00063125,             0.00063125
                     52,                0.62001,                0.48212,                 1.1301,                 0.9319,                0.91698,                0.95187,                0.81353,                0.57595,                 0.4394,                 1.1008,             0.00061887,             0.00061887,             0.00061887
                     53,                0.61303,                 0.4688,                 1.1246,                 0.9539,                0.94415,                0.97394,                0.83579,                0.56972,                0.38538,                 1.0922,              0.0006065,              0.0006065,              0.0006065
                     54,                0.59751,                0.45231,                 1.1211,                0.93535,                 0.9377,                0.96034,                0.82099,                 0.5713,                 0.4252,                 1.0957,             0.00059413,             0.00059413,             0.00059413
                     55,                0.60395,                0.44459,                 1.1288,                0.96338,                0.94157,                 0.9754,                0.85114,                0.53256,                0.37189,                 1.0695,             0.00058175,             0.00058175,             0.00058175
                     56,                0.59788,                0.44613,                 1.1176,                0.96956,                0.94069,                0.97244,                0.84983,                0.56031,                0.37197,                 1.0966,             0.00056938,             0.00056938,             0.00056938
                     57,                0.59358,                0.44642,                  1.117,                0.93955,                0.95934,                0.97307,                0.85746,                0.54004,                0.37026,                 1.0738,               0.000557,               0.000557,               0.000557
                     58,                0.59339,                0.44886,                 1.1144,                 0.9504,                0.94273,                0.96917,                0.85241,                0.53955,                0.36259,                 1.0709,             0.00054463,             0.00054463,             0.00054463
                     59,                0.60905,                0.44516,                  1.116,                0.97188,                0.93379,                0.97095,                0.84983,                 0.5525,                0.37224,                 1.0759,             0.00053225,             0.00053225,             0.00053225
                     60,                0.59564,                0.44276,                 1.1064,                0.95751,                0.91898,                0.97279,                0.84888,                0.53534,                0.36949,                 1.0651,             0.00051988,             0.00051988,             0.00051988
                     61,                0.59625,                0.44267,                  1.114,                0.96051,                0.93481,                0.96743,                0.83934,                0.55842,                0.37496,                 1.0908,              0.0005075,              0.0005075,              0.0005075
                     62,                0.58476,                0.43485,                 1.1065,                0.94976,                0.93566,                0.96964,                0.83728,                0.55586,                 0.3802,                 1.0865,             0.00049513,             0.00049513,             0.00049513
                     63,                0.59631,                0.43108,                 1.1074,                0.96099,                  0.938,                0.96319,                0.83218,                0.56664,                0.37372,                 1.0987,             0.00048275,             0.00048275,             0.00048275
                     64,                0.57736,                0.43068,                 1.0938,                0.95702,                0.94457,                0.96781,                0.84202,                0.55127,                0.38152,                 1.0821,             0.00047038,             0.00047038,             0.00047038
                     65,                0.58183,                0.42028,                 1.1007,                0.96401,                0.92915,                0.96753,                0.84629,                0.55614,                0.37108,                 1.0899,               0.000458,               0.000458,               0.000458
                     66,                0.57581,                0.42166,                 1.0987,                  0.963,                0.93887,                0.97377,                0.85121,                0.55228,                0.35416,                  1.094,             0.00044563,             0.00044563,             0.00044563
                     67,                0.58512,                0.42614,                  1.115,                0.93882,                 0.9476,                0.96999,                0.84899,                 0.5497,                0.37008,                 1.0812,             0.00043325,             0.00043325,             0.00043325
