               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.028868,            0.022856,            0.009667,              0.7485,             0.74568,             0.77405,             0.49597,            0.030641,            0.016665,             0.01057,            0.002872,            0.002872,            0.002872
                  38,             0.02792,            0.021686,           0.0089827,             0.80853,             0.75536,             0.81134,             0.51595,            0.030428,            0.016595,            0.010103,            0.002674,            0.002674,            0.002674
                  39,            0.027735,            0.021233,           0.0091951,             0.79273,             0.75131,             0.80099,             0.52142,            0.030436,            0.016409,           0.0097142,            0.002476,            0.002476,            0.002476
                  40,            0.027732,            0.021825,           0.0086829,              0.7954,             0.75627,             0.79796,             0.50713,            0.029729,             0.01582,           0.0093786,            0.002278,            0.002278,            0.002278
                  41,            0.026776,            0.022264,           0.0083302,             0.79968,             0.75425,             0.81788,             0.52135,            0.030161,            0.015883,           0.0095869,             0.00208,             0.00208,             0.00208
                  42,            0.027609,            0.021242,           0.0079059,             0.80247,             0.75539,             0.82638,             0.52605,            0.029552,            0.015932,           0.0091576,            0.001882,            0.001882,            0.001882
                  43,            0.027522,            0.022345,           0.0073772,             0.81862,             0.74811,             0.81482,             0.51996,            0.029378,            0.016247,           0.0093477,            0.001684,            0.001684,            0.001684
                  44,            0.025803,            0.020564,            0.007654,             0.78613,             0.78179,             0.82209,             0.52401,            0.028746,            0.016067,            0.009851,            0.001486,            0.001486,            0.001486
                  45,            0.026294,             0.02034,           0.0079371,              0.7961,             0.75933,             0.81328,              0.5341,            0.029367,            0.016068,           0.0097162,            0.001288,            0.001288,            0.001288
                  46,             0.02697,            0.021517,           0.0079044,             0.81497,              0.7506,             0.82706,             0.53921,            0.029135,            0.016131,           0.0097023,             0.00109,             0.00109,             0.00109
                  47,            0.025747,            0.021446,           0.0077439,             0.82273,             0.75925,             0.82679,             0.53911,            0.029241,            0.015907,           0.0093008,            0.000892,            0.000892,            0.000892
                  48,            0.025514,            0.020507,           0.0074284,             0.80554,             0.74446,             0.81476,             0.53329,             0.02862,             0.01599,           0.0093325,            0.000694,            0.000694,            0.000694
                  49,             0.02544,            0.018947,           0.0082987,             0.81895,             0.74764,             0.82459,             0.53695,            0.028479,             0.01619,            0.009242,            0.000496,            0.000496,            0.000496
